"year","player","max(DM)","avg(DM)","min(DM)"
2004,"Agustin Calleri",1.4,1.16808510638298,0.936170212765957
2004,"Albert Costa",1.22222222222222,1.08681917211329,0.95
2004,"Albert Montanes",0.467741935483871,0.467741935483871,0.467741935483871
2004,"Albert Portas",0.704545454545455,0.704545454545455,0.704545454545455
2004,"Alberto Martin",1.37037037037037,1.04044834307992,0.710526315789474
2004,"Alex Corretja",1.16666666666667,1.09615384615385,1.02564102564103
2004,"Alex Jr. Bogomolov",0.478260869565217,0.478260869565217,0.478260869565217
2004,"Alexander Popp",0.666666666666667,0.666666666666667,0.666666666666667
2004,"Alun Jones",0.775,0.775,0.775
2004,"Andre Agassi",1.76666666666667,1.52852164175694,0.941176470588235
2004,"Andrei Pavel",1.33333333333333,1.10963748894783,0.769230769230769
2004,"Andy Roddick",2.5,1.78282967032967,1.0625
2004,"Antony Dupuis",0.9375,0.9375,0.9375
2004,"Arnaud Clement",0.925,0.925,0.925
2004,"Bohdan Ulihrach",1.35294117647059,0.876470588235294,0.4
2004,"Brian Vahaly",0.8,0.8,0.8
2004,"Cecil Mamiit",0.634146341463415,0.634146341463415,0.634146341463415
2004,"Chris Guccione",1.29032258064516,0.882003395585738,0.473684210526316
2004,"Christophe Rochus",0.714285714285714,0.714285714285714,0.714285714285714
2004,"Cyril Saulnier",1.32258064516129,1.0450112528132,0.767441860465116
2004,"David Ferrer",1.35294117647059,1.06862745098039,0.784313725490196
2004,"David Nalbandian",2.04,1.53522396292376,0.970588235294118
2004,"David Sanchez-Munoz",1.02857142857143,0.976785714285714,0.925
2004,"Davide Sanguinetti",0.868421052631579,0.868421052631579,0.868421052631579
2004,"Dennis Van Scheppingen",0.625,0.625,0.625
2004,"Dmitry Tursunov",0.842105263157895,0.842105263157895,0.842105263157895
2004,"Dominik Hrbaty",1.8125,1.36268205308903,0.790697674418605
2004,"Fabrice Santoro",1.6,1.19024390243902,0.780487804878049
2004,"Feliciano Lopez",0.72972972972973,0.72972972972973,0.72972972972973
2004,"Felix Mantilla",0.6,0.6,0.6
2004,"Fernando Gonzalez",0.7,0.7,0.7
2004,"Fernando Verdasco",0.471698113207547,0.471698113207547,0.471698113207547
2004,"Filippo Volandri",1.05405405405405,0.936117936117936,0.818181818181818
2004,"Flavio Saretta",0.673469387755102,0.673469387755102,0.673469387755102
2004,"Florian Mayer",1.5,1.08636363636364,0.672727272727273
2004,"Galo Blanco",1.75757575757576,1.30561714708056,0.853658536585366
2004,"Gaston Gaudio",1.19444444444444,0.873084291187739,0.551724137931034
2004,"Gilles Muller",0.739130434782609,0.739130434782609,0.739130434782609
2004,"Glenn Weiner",1.03448275862069,0.892241379310345,0.75
2004,"Greg Rusedski",0.818181818181818,0.818181818181818,0.818181818181818
2004,"Gregory Carraz",0.636363636363636,0.636363636363636,0.636363636363636
2004,"Guillermo Canas",1.62962962962963,1.04700188156071,0.490196078431373
2004,"Guillermo Coria",0.75609756097561,0.75609756097561,0.75609756097561
2004,"Gustavo Kuerten",1.17948717948718,1.00612535612536,0.7
2004,"Hicham Arazi",1.45161290322581,1.2302049570407,1.05263157894737
2004,"Hyung-Taik Lee",0.72,0.72,0.72
2004,"Igor Andreev",0.948717948717949,0.948717948717949,0.948717948717949
2004,"Irakli Labadze",0.925,0.925,0.925
2004,"Ivan Ljubicic",1.1875,1.0327743902439,0.878048780487805
2004,"Ivan Miranda",0.711111111111111,0.711111111111111,0.711111111111111
2004,"Ivo Karlovic",0.931034482758621,0.876231527093596,0.821428571428571
2004,"James Blake",1.96428571428571,1.34340612934363,0.945945945945946
2004,"Jan Vacek",1.37931034482759,1.05329153605016,0.727272727272727
2004,"Jan-Michael Gambill",1.57142857142857,1.07460317460317,0.577777777777778
2004,"Jarkko Nieminen",1.34285714285714,1.09789915966387,0.852941176470588
2004,"Jean-Rene Lisnard",0.488372093023256,0.488372093023256,0.488372093023256
2004,"Jeff Morrison",1.6,1.12142857142857,0.642857142857143
2004,"Jeff Salzenstein",0.966666666666667,0.966666666666667,0.966666666666667
2004,"Jerome Golmard",1.41935483870968,1.20967741935484,1
2004,"Jiri Novak",1.5,1.28333333333333,0.975
2004,"Joachim Johansson",1.5,1.22138805472139,0.756756756756757
2004,"John van Lottum",0.847826086956522,0.847826086956522,0.847826086956522
2004,"Jonas Bjorkman",0.625,0.625,0.625
2004,"Jose Acasuso",0.555555555555556,0.555555555555556,0.555555555555556
2004,"Juan Carlos Ferrero",2.13793103448276,1.27345116944508,0.717948717948718
2004,"Juan Ignacio Chela",1.08108108108108,1.05216844751728,1.02325581395349
2004,"Jurgen Melzer",2.31818181818182,1.40433821497651,0.723404255319149
2004,"Karol Beck",1.21951219512195,1.07317073170732,0.926829268292683
2004,"Karol Kucera",1.3030303030303,1.05536130536131,0.807692307692308
2004,"Kenneth Carlsen",0.682926829268293,0.682926829268293,0.682926829268293
2004,"Lars Burgsmuller",0.739130434782609,0.739130434782609,0.739130434782609
2004,"Lleyton Hewitt",1.57692307692308,1.20545912420912,0.825
2004,"Luis Horna",0.674418604651163,0.674418604651163,0.674418604651163
2004,"Marat Safin",1.25,1.02776346170652,0.711111111111111
2004,"Mardy Fish",1.21739130434783,1.21739130434783,1.21739130434783
2004,"Mario Ancic",1.14814814814815,0.934988776655443,0.681818181818182
2004,"Mark Philippoussis",1.46666666666667,1.15086805555556,0.688888888888889
2004,"Martin Verkerk",0.857142857142857,0.857142857142857,0.857142857142857
2004,"Max Mirnyi",0.763157894736842,0.763157894736842,0.763157894736842
