"year","round","player","DM"
2004,"Fourth","Sebastien Grosjean",1.38709677419355
2004,"Third","Roger Federer",2.03333333333333
2004,"Third","Hicham Arazi",1.05263157894737
2004,"Third","Andrei Pavel",1.02564102564103
2004,"Third","Guillermo Canas",1
2004,"Third","David Nalbandian",1.44827586206897
2004,"Third","Juan Carlos Ferrero",1.32142857142857
2004,"Third","Lleyton Hewitt",1.18181818181818
2004,"Third","Mark Philippoussis",1.46666666666667
2004,"Third","James Blake",1.96428571428571
2004,"Third","Robby Ginepri",1.14705882352941
2004,"Third","Andre Agassi",1.63636363636364
2004,"Third","Marat Safin",1
2004,"Third","Paradorn Srichaphan",1.42857142857143
2004,"Third","Sjeng Schalken",1.38235294117647
2004,"Third","Sebastien Grosjean",1.26470588235294
2004,"Third","Andy Roddick",2
2004,"Second","Hicham Arazi",1.3030303030303
2004,"Second","Todd Reid",1
2004,"Second","Mario Ancic",0.975
2004,"Second","Mark Philippoussis",1.28125
2004,"Second","Rafael Nadal",1.31428571428571
2004,"Second","Roger Federer",1.55555555555556
2004,"Second","Tim Henman",1.7037037037037
2004,"Second","Albert Costa",1.08823529411765
2005,"Final","Marat Safin",1.14705882352941
2005,"semi","Lleyton Hewitt",1.2
2005,"semi","Marat Safin",0.885714285714286
2005,"quarter","Lleyton Hewitt",1.02631578947368
2005,"quarter","Andy Roddick",1.5
2005,"quarter","Roger Federer",1.25
2005,"quarter","Marat Safin",1.75
2005,"Fourth","Nikolay Davydenko",1.15151515151515
2005,"Fourth","David Nalbandian",1.13636363636364
2005,"Fourth","Andy Roddick",1.59090909090909
2005,"Fourth","Lleyton Hewitt",1.05555555555556
2005,"Fourth","Andre Agassi",1.15384615384615
2005,"Fourth","Dominik Hrbaty",1.76923076923077
2005,"Fourth","Marat Safin",1.46153846153846
2005,"Fourth","Roger Federer",1.8695652173913
2005,"Third","David Nalbandian",1.29411764705882
2005,"Third","Lleyton Hewitt",1.31428571428571
2005,"Third","Guillermo Coria",1.4
2005,"Third","Guillermo Canas",2.07142857142857
2005,"Third","Andy Roddick",2.19047619047619
2005,"Third","Philipp Kohlschreiber",1.53333333333333
2005,"Third","Rafael Nadal",1.86206896551724
2005,"Third","Nikolay Davydenko",1.375
2005,"Third","Thomas Johansson",1.59259259259259
2005,"Third","Roger Federer",1.48648648648649
2005,"Third","Dominik Hrbaty",1.04878048780488
2005,"Third","Andre Agassi",1.5625
2005,"Third","Joachim Johansson",1.03448275862069
2005,"Third","Olivier Rochus",1.27272727272727
2005,"Third","Marcos Baghdatis",1.35294117647059
2005,"Third","Marat Safin",1.125
2005,"Second","Guillermo Canas",1.25
2005,"Second","Bobby Reynolds",1.45161290322581
2005,"Second","Philipp Kohlschreiber",2.89285714285714
2005,"Second","Jurgen Melzer",1.53846153846154
2005,"Second","Jean-Rene Lisnard",1.02222222222222
2005,"Second","Juan Ignacio Chela",1.45833333333333
2005,"Second","David Nalbandian",1.42424242424242
2005,"Second","Radek Stepanek",1.05
2005,"Second","Nikolay Davydenko",1.30555555555556
2005,"Second","Guillermo Coria",1.04545454545455
2005,"Second","Juan Carlos Ferrero",1.65625
2005,"Second","Tim Henman",1.5
2005,"Second","Rafael Nadal",1.1
2005,"Second","Fernando Gonzalez",1.91304347826087
2005,"Second","Lleyton Hewitt",1.3030303030303
2005,"Second","Andy Roddick",2.52941176470588
2005,"Second","Joachim Johansson",1.06666666666667
2005,"Second","Karol Beck",1.05405405405405
2005,"Second","Kevin Kim",1.91666666666667
2005,"Second","Taylor Dent",1.33333333333333
2005,"Second","Feliciano Lopez",1.08571428571429
2005,"Second","Roger Federer",1.65384615384615
2005,"Second","Gaston Gaudio",1.07894736842105
2005,"Second","Mario Ancic",1.92
2005,"Second","Thomas Johansson",1.125
2005,"Second","Dominik Hrbaty",1.375
2005,"Second","Andre Agassi",1.76666666666667
2005,"Second","Marat Safin",1.92
2005,"Second","Olivier Rochus",1.54285714285714
2005,"Second","Jarkko Nieminen",1.41379310344828
2005,"Second","Tommy Robredo",1.13157894736842
2005,"Second","Marcos Baghdatis",1.60869565217391
2005,"First","Juan Carlos Ferrero",1
2005,"First","Bobby Reynolds",1.06060606060606
2005,"First","Philipp Kohlschreiber",1.54838709677419
2005,"First","David Nalbandian",1.02325581395349
2005,"First","Victor Hanescu",1.21875
2005,"First","Igor Andreev",1.48275862068966
2005,"First","Fernando Gonzalez",1
2005,"First","Lleyton Hewitt",1.53571428571429
2005,"First","Santiago Ventura",0.942857142857143
2005,"First","Nathan Healey",1.1
2005,"First","Rafael Nadal",1.96666666666667
2005,"First","Juan Ignacio Chela",1.7
2005,"First","Mariano Zabaleta",1.56
2005,"First","Jean-Rene Lisnard",1
2005,"First","Mikhail Youzhny",2.6875
2005,"First","Greg Rusedski",1.10810810810811
2005,"First","Nikolay Davydenko",1.47222222222222
2005,"First","Ricardo Mello",1.41176470588235
2005,"First","Fernando Verdasco",1.84615384615385
2005,"First","Jurgen Melzer",1.21951219512195
2005,"First","Andy Roddick",2.61111111111111
2005,"First","Guillermo Coria",1.86206896551724
2005,"First","Tim Henman",1.27027027027027
2005,"First","Sebastien Grosjean",1.33333333333333
2005,"First","Jan Hernych",1.88
2005,"First","Guillermo Canas",1.43333333333333
2005,"First","Nicolas Massu",1.35714285714286
2005,"First","Gregory Carraz",1.10526315789474
2005,"First","Radek Stepanek",1
2005,"First","Andrei Pavel",1.54838709677419
2005,"First","James Blake",1.96428571428571
2005,"First","Christophe Rochus",1.78571428571429
2005,"First","Dominik Hrbaty",1.48648648648649
2005,"First","Takao Suzuki",1.48
2005,"First","Tomas Zib",1.15909090909091
2005,"First","Feliciano Lopez",1.44
2005,"First","Thomas Johansson",1.12121212121212
2005,"First","Olivier Rochus",1.1025641025641
2005,"First","Sargis Sargsian",1.05263157894737
2005,"First","Kevin Kim",1.13888888888889
2005,"First","Peter Wessels",2.22222222222222
2005,"First","Gaston Gaudio",1.35483870967742
2005,"First","Marat Safin",2.72
2005,"First","Bohdan Ulihrach",1.59090909090909
2005,"First","Rainer Schuettler",1.61538461538462
2005,"First","Gael Monfils",0.947368421052632
2005,"First","Michal Tabara",1.175
2005,"First","Paradorn Srichaphan",1.02631578947368
2005,"First","Agustin Calleri",0.914285714285714
2005,"First","Taylor Dent",1.27027027027027
2005,"First","Jarkko Nieminen",1.33333333333333
2005,"First","Janko Tipsarevic",1.08333333333333
2005,"First","Mario Ancic",2.21739130434783
2005,"First","Tommy Robredo",1.32352941176471
2005,"First","Bjorn Phau",1.38888888888889
2005,"First","Ivan Ljubicic",2.47058823529412
2005,"First","Tommy Haas",2.3
2005,"First","Mardy Fish",1.10810810810811
2005,"First","Roger Federer",1.82758620689655
2005,"First","Marcos Baghdatis",1.29411764705882
2005,"First","Guillermo Garcia-Lopez",1.11428571428571
2005,"First","Karol Beck",1.5
2005,"First","Joachim Johansson",1.80952380952381
2005,"First","Andre Agassi",1.96428571428571
2006,"Final","Roger Federer",1.21052631578947
2006,"semi","Roger Federer",1.5
2006,"semi","Marcos Baghdatis",1.05128205128205
2006,"quarter","Roger Federer",1.05882352941176
2006,"quarter","Nicolas Kiefer",0.931818181818182
2006,"quarter","David Nalbandian",2.11111111111111
2006,"quarter","Marcos Baghdatis",1.16666666666667
2006,"Fourth","Nicolas Kiefer",1.20588235294118
2006,"Fourth","Sebastien Grosjean",1.54545454545455
2006,"Fourth","Roger Federer",1.18181818181818
2006,"Fourth","Nikolay Davydenko",1.1
2006,"Fourth","Fabrice Santoro",1.18181818181818
2006,"Fourth","Ivan Ljubicic",1.57692307692308
2006,"Fourth","Marcos Baghdatis",0.916666666666667
2006,"Fourth","David Nalbandian",1.6
2006,"Third","Roger Federer",2.31578947368421
2006,"Third","Nicolas Kiefer",1.42857142857143
2006,"Third","Paul-Henri Mathieu",1.57142857142857
2006,"Third","Dominik Hrbaty",1
2006,"Third","Juan Ignacio Chela",1.38709677419355
2006,"Third","Tommy Haas",1.2962962962963
2006,"Third","Sebastien Grosjean",1.18181818181818
2006,"Third","Nikolay Davydenko",1.57692307692308
2006,"Third","Andy Roddick",2.43478260869565
2006,"Third","David Nalbandian",1.17948717948718
2006,"Third","David Ferrer",1.2972972972973
2006,"Third","Thomas Johansson",1.64285714285714
2006,"Third","Marcos Baghdatis",1.63888888888889
2006,"Third","Tommy Robredo",1.53571428571429
2006,"Third","Fabrice Santoro",0.977272727272727
2006,"Third","Ivan Ljubicic",1.46666666666667
2006,"Second","Nathan Healey",1
2006,"Second","Kristof Vliegen",1.04878048780488
2006,"Second","Juan Ignacio Chela",1.25
2006,"Second","Igor Andreev",1.02777777777778
2006,"Second","Peter Luczak",1.18181818181818
2006,"Second","Luis Horna",2
2006,"Second","Tommy Haas",2.73684210526316
2006,"Second","Nicolas Kiefer",1.38888888888889
2006,"Second","Guillermo Coria",1.21621621621622
2006,"Second","Dominik Hrbaty",1.3030303030303
2006,"Second","Sebastien Grosjean",1.35294117647059
2006,"Second","Max Mirnyi",1.125
2006,"Second","Paul-Henri Mathieu",1.66666666666667
2006,"Second","Nikolay Davydenko",1.42424242424242
2006,"Second","Juan Carlos Ferrero",1.29411764705882
2006,"Second","Roger Federer",1.7
2006,"Second","David Ferrer",1.24390243902439
2006,"Second","Denis Gremelmayr",0.931818181818182
2006,"Second","Gaston Gaudio",1.63333333333333
2006,"Second","Ivan Ljubicic",1.36111111111111
2006,"Second","Gilles Simon",1.28947368421053
2006,"Second","Thomas Johansson",1.02857142857143
2006,"Second","Andy Roddick",1.63636363636364
2006,"Second","James Blake",1.30555555555556
2006,"Second","David Nalbandian",1.17647058823529
2006,"Second","Tommy Robredo",1.18181818181818
2006,"Second","Feliciano Lopez",1.21212121212121
2006,"Second","Jarkko Nieminen",1.63333333333333
2006,"Second","Mario Ancic",2
2006,"Second","Fabrice Santoro",1.26829268292683
2006,"Second","Julien Benneteau",1.3448275862069
2006,"Second","Marcos Baghdatis",1.11428571428571
2006,"First","Florian Mayer",1.25641025641026
2006,"First","Dominik Hrbaty",1.36111111111111
2006,"First","Nathan Healey",2.07692307692308
2006,"First","Boris Pashanski",1.32142857142857
2006,"First","Janko Tipsarevic",1.05
2006,"First","Amer Delic",1
2006,"First","Fernando Verdasco",1.37037037037037
2006,"First","Roger Federer",1.96
2006,"First","Kristof Vliegen",1.5
2006,"First","Juan Carlos Ferrero",1.76666666666667
2006,"First","Raemon Sluiter",1.3448275862069
2006,"First","Paul Goldstein",1.17948717948718
2006,"First","Dick Norman",0.928571428571429
2006,"First","Luis Horna",1.57142857142857
2006,"First","Tommy Haas",1.35483870967742
2006,"First","Juan Monaco",1.24324324324324
2006,"First","Peter Luczak",1.04
2006,"First","Davide Sanguinetti",1.58620689655172
2006,"First","Igor Andreev",1.24242424242424
2006,"First","Lleyton Hewitt",0.956521739130435
2006,"First","Sebastien Grosjean",1.84
2006,"First","Max Mirnyi",1.25
2006,"First","Nicolas Kiefer",1.36111111111111
2006,"First","Paul-Henri Mathieu",1.19444444444444
2006,"First","Federico Luzzi",1.35483870967742
2006,"First","Olivier Rochus",1.76
2006,"First","Juan Ignacio Chela",1.45161290322581
2006,"First","Bjorn Phau",1.04651162790698
2006,"First","Guillermo Coria",1.03921568627451
2006,"First","Alex Jr. Bogomolov",0.930232558139535
2006,"First","Nikolay Davydenko",1.13793103448276
2006,"First","Kevin Kim",1.47058823529412
2006,"First","Lars Burgsmuller",1.02380952380952
2006,"First","Gaston Gaudio",1.87096774193548
2006,"First","Feliciano Lopez",1.65384615384615
2006,"First","Daniele Bracciali",1.57575757575758
2006,"First","Mario Ancic",1.10810810810811
2006,"First","David Ferrer",1.21428571428571
2006,"First","Fabrice Santoro",1.51515151515152
2006,"First","Jean-Christophe Faurel",1.36666666666667
2006,"First","Robby Ginepri",1.58333333333333
2006,"First","Jan Hernych",1.08333333333333
2006,"First","Radek Stepanek",1.85714285714286
2006,"First","Wesley Moodie",1.12903225806452
2006,"First","Thomas Johansson",1.53571428571429
2006,"First","Guillermo Garcia-Lopez",1.1875
2006,"First","Tommy Robredo",1.28125
2006,"First","David Nalbandian",1.07317073170732
2006,"First","Tomas Berdych",1.22222222222222
2006,"First","Dmitry Tursunov",1.0952380952381
2006,"First","Jimmy Wang",1.58064516129032
2006,"First","James Blake",1.07894736842105
2006,"First","Julien Benneteau",2.375
2006,"First","Philipp Kohlschreiber",1.7037037037037
2006,"First","Stanislas Wawrinka",1.29032258064516
2006,"First","Jarkko Nieminen",1.5
2006,"First","Denis Gremelmayr",1.55882352941176
2006,"First","Ivan Ljubicic",1.39130434782609
2006,"First","Andrei Pavel",1
2006,"First","Xavier Malisse",1.21052631578947
2006,"First","Andy Roddick",1.5625
2006,"First","Marcos Baghdatis",1.53333333333333
2006,"First","Gilles Simon",1.07317073170732
2007,"Final","Roger Federer",2
2007,"semi","Fernando Gonzalez",2.31818181818182
2007,"semi","Roger Federer",2.2
2007,"quarter","Tommy Haas",1.08108108108108
2007,"quarter","Fernando Gonzalez",1.29032258064516
2007,"quarter","Roger Federer",1.42424242424242
2007,"quarter","Andy Roddick",2.34782608695652
2007,"Fourth","Tommy Haas",1.3030303030303
2007,"Fourth","Nikolay Davydenko",1.24242424242424
2007,"Fourth","Fernando Gonzalez",1.29032258064516
2007,"Fourth","Rafael Nadal",1.08571428571429
2007,"Fourth","Tommy Robredo",1.36666666666667
2007,"Fourth","Mardy Fish",1.11764705882353
2007,"Fourth","Roger Federer",1.8
2007,"Fourth","Andy Roddick",1.03333333333333
2007,"Third","Tommy Haas",1.39393939393939
2007,"Third","Tomas Berdych",2.33333333333333
2007,"Third","James Blake",1.64
2007,"Third","David Nalbandian",1.13157894736842
2007,"Third","Nikolay Davydenko",1.48275862068966
2007,"Third","Rafael Nadal",1.96296296296296
2007,"Third","Fernando Gonzalez",1.41379310344828
2007,"Third","Andy Murray",1.32432432432432
2007,"Third","Novak Djokovic",1.22222222222222
2007,"Third","Andy Roddick",1.15625
2007,"Third","Mardy Fish",Inf
2007,"Third","David Ferrer",1.12820512820513
2007,"Third","Mario Ancic",1.75
2007,"Third","Richard Gasquet",1.57692307692308
2007,"Third","Roger Federer",1.29032258064516
2007,"Third","Tommy Robredo",1.52
2007,"Second","Tommy Haas",2.27777777777778
2007,"Second","Sebastien Grosjean",1.11111111111111
2007,"Second","Lleyton Hewitt",1.05555555555556
2007,"Second","Fabrice Santoro",1.68
2007,"Second","Juan Ignacio Chela",1.14705882352941
2007,"Second","Rafael Nadal",1.21621621621622
2007,"Second","Robby Ginepri",1.29411764705882
2007,"Second","Dmitry Tursunov",1.3125
2007,"Second","Nikolay Davydenko",1.56666666666667
2007,"Second","David Nalbandian",1.43478260869565
2007,"Second","Florian Mayer",1.16666666666667
2007,"Second","James Blake",1.75862068965517
2007,"Second","Fernando Gonzalez",1.15625
2007,"Second","Andy Murray",1.19512195121951
2007,"Second","Stanislas Wawrinka",1.5
2007,"Second","Tomas Berdych",1.42424242424242
2007,"Second","Radek Stepanek",1
2007,"Second","Gael Monfils",1.08108108108108
2007,"Second","Novak Djokovic",1.58064516129032
2007,"Second","David Ferrer",1.4
2007,"Second","Mikhail Youzhny",1.23076923076923
2007,"Second","Tommy Robredo",1.55555555555556
2007,"Second","Mardy Fish",1.08823529411765
2007,"Second","Andy Roddick",1.33333333333333
2007,"Second","Wayne Arthurs",1.24137931034483
2007,"Second","Mario Ancic",1.19444444444444
2007,"Second","Roger Federer",1.82758620689655
2007,"Second","Marat Safin",1.05
2007,"Second","Dominik Hrbaty",1.12820512820513
2007,"Second","Richard Gasquet",2.22727272727273
2007,"Second","Sam Querrey",1.79166666666667
2007,"Second","Danai Udomchoke",1.18918918918919
2007,"First","Alex Kuznetsov",1.19354838709677
2007,"First","James Blake",1.90909090909091
2007,"First","Olivier Rochus",1.375
2007,"First","Nicolas Lapentti",1.30555555555556
2007,"First","Sebastien Grosjean",5
2007,"First","Mischa Zverev",1.14285714285714
2007,"First","Andy Murray",2.78260869565217
2007,"First","Fernando Gonzalez",1.17391304347826
2007,"First","Robert Smeets",1.39285714285714
2007,"First","Jarkko Nieminen",1.04761904761905
2007,"First","Andreas Seppi",1.33333333333333
2007,"First","Philipp Kohlschreiber",1.24242424242424
2007,"First","Rafael Nadal",1.57692307692308
2007,"First","Gilles Muller",1.66666666666667
2007,"First","Max Mirnyi",0.972222222222222
2007,"First","Tommy Haas",2.1
2007,"First","Fernando Verdasco",0.833333333333333
2007,"First","Lleyton Hewitt",1.23529411764706
2007,"First","Frank Dancevic",1.46428571428571
2007,"First","Paul Capdeville",1.21739130434783
2007,"First","Florian Mayer",1.11764705882353
2007,"First","Juan Ignacio Chela",1.28125
2007,"First","Tomas Berdych",2.21428571428571
2007,"First","David Nalbandian",1.19444444444444
2007,"First","Dmitry Tursunov",1.54166666666667
2007,"First","Fabrice Santoro",1.47058823529412
2007,"First","Ilija Bozoljac",2.19047619047619
2007,"First","Robby Ginepri",1.19354838709677
2007,"First","Nikolay Davydenko",1.51612903225806
2007,"First","Stanislas Wawrinka",1.20512820512821
2007,"First","Juan Martin Del Potro",1.92307692307692
2007,"First","Arnaud Clement",1.14705882352941
2007,"First","Vince Spadea",1.5
2007,"First","Wayne Arthurs",1.05714285714286
2007,"First","Jonas Bjorkman",1.41176470588235
2007,"First","Nicolas Mahut",1.27027027027027
2007,"First","Thomas Johansson",1.05405405405405
2007,"First","Dominik Hrbaty",1.30555555555556
2007,"First","Marat Safin",1.10714285714286
2007,"First","Zack Fleishman",1.04878048780488
2007,"First","Danai Udomchoke",1.275
2007,"First","Mario Ancic",2.09090909090909
2007,"First","Feliciano Lopez",1.33333333333333
2007,"First","Jurgen Melzer",0.714285714285714
2007,"First","Yen-Hsun Lu",1.27777777777778
2007,"First","David Ferrer",1.15384615384615
2007,"First","Marcos Baghdatis",1.15789473684211
2007,"First","Andy Roddick",1.26923076923077
2007,"First","Roger Federer",1.6
2007,"First","Juan Carlos Ferrero",4
2007,"First","Novak Djokovic",2.32
2007,"First","Marc Gicquel",1.34285714285714
2007,"First","Lukas Dlouhy",1.13157894736842
2007,"First","Mardy Fish",1
2007,"First","Radek Stepanek",3.0625
2007,"First","Florent Serra",1.26470588235294
2007,"First","Sam Querrey",1.18181818181818
2007,"First","Gael Monfils",1.56521739130435
2007,"First","Amer Delic",1.6875
2007,"First","Dudi Sela",1.38888888888889
2007,"First","Guillermo Garcia-Lopez",1.05263157894737
2007,"First","Richard Gasquet",1.18604651162791
2007,"First","Tommy Robredo",1.88461538461538
2008,"Final","Novak Djokovic",1.24137931034483
2008,"semi","Novak Djokovic",1.14705882352941
2008,"semi","Jo-Wilfried Tsonga",1.84
2008,"quarter","Novak Djokovic",1.48484848484848
2008,"quarter","Roger Federer",1.36666666666667
2008,"quarter","Jo-Wilfried Tsonga",1.82608695652174
2008,"quarter","Rafael Nadal",1.32352941176471
2008,"Fourth","Roger Federer",1.38461538461538
2008,"Fourth","David Ferrer",1.24324324324324
2008,"Fourth","Novak Djokovic",1.28947368421053
2008,"Fourth","James Blake",1.48
2008,"Fourth","Jarkko Nieminen",0.977272727272727
2008,"Fourth","Rafael Nadal",3
2008,"Fourth","Mikhail Youzhny",1.41176470588235
2008,"Fourth","Jo-Wilfried Tsonga",1.35714285714286
2008,"Third","David Ferrer",1.55172413793103
2008,"Third","Juan Carlos Ferrero",1.68965517241379
2008,"Third","Lleyton Hewitt",1.13888888888889
2008,"Third","James Blake",1.075
2008,"Third","Novak Djokovic",2.08333333333333
2008,"Third","Roger Federer",1.5
2008,"Third","Marin Cilic",1.51612903225806
2008,"Third","Tomas Berdych",1.21212121212121
2008,"Third","Nikolay Davydenko",1.32432432432432
2008,"Third","Jarkko Nieminen",1.125
2008,"Third","Rafael Nadal",1.5
2008,"Third","Richard Gasquet",1.27586206896552
2008,"Third","Jo-Wilfried Tsonga",1.62068965517241
2008,"Third","Philipp Kohlschreiber",NA
2008,"Third","Paul-Henri Mathieu",0.95
2008,"Third","Mikhail Youzhny",2.0952380952381
2008,"Second","Juan Carlos Ferrero",1.29032258064516
2008,"Second","Sam Querrey",1.16666666666667
2008,"Second","Marcos Baghdatis",1.11764705882353
2008,"Second","Vince Spadea",0.926829268292683
2008,"Second","Marin Cilic",1.43333333333333
2008,"Second","Janko Tipsarevic",1.2
2008,"Second","James Blake",1.92307692307692
2008,"Second","David Nalbandian",1.33333333333333
2008,"Second","Tomas Berdych",1.92
2008,"Second","Fernando Gonzalez",1.1
2008,"Second","Lleyton Hewitt",1.3030303030303
2008,"Second","Juan Monaco",1.05882352941176
2008,"Second","Sebastien Grosjean",1.26666666666667
2008,"Second","David Ferrer",1.28947368421053
2008,"Second","Roger Federer",2.52173913043478
2008,"Second","Novak Djokovic",1.82758620689655
2008,"Second","Marc Gicquel",1.08108108108108
2008,"Second","Nikolay Davydenko",1.34090909090909
2008,"Second","Paul-Henri Mathieu",1.32258064516129
2008,"Second","Ivo Karlovic",1.26666666666667
2008,"Second","Guillermo Garcia-Lopez",1.16666666666667
2008,"Second","Jo-Wilfried Tsonga",1.60714285714286
2008,"Second","Rafael Nadal",1.81818181818182
2008,"Second","Igor Andreev",1.32142857142857
2008,"Second","Andy Roddick",1.77777777777778
2008,"Second","Philipp Kohlschreiber",1.70833333333333
2008,"Second","Richard Gasquet",2.68421052631579
2008,"Second","Mikhail Youzhny",1.08823529411765
2008,"Second","Gilles Simon",1.63333333333333
2008,"Second","Stefan Koubek",1.03333333333333
2008,"Second","Mardy Fish",1.67741935483871
2008,"Second","Jarkko Nieminen",1.25
2008,"First","Marin Cilic",1.41935483870968
2008,"First","Alun Jones",1.06976744186047
2008,"First","Novak Djokovic",1.66666666666667
2008,"First","Simone Bolelli",1.05714285714286
2008,"First","Janko Tipsarevic",1.11428571428571
2008,"First","Hyung-Taik Lee",1.29166666666667
2008,"First","Sebastien Grosjean",1.39393939393939
2008,"First","Jurgen Melzer",1.66666666666667
2008,"First","Fernando Verdasco",1.55555555555556
2008,"First","Juan Martin Del Potro",1.57142857142857
2008,"First","Peter Luczak",1.33333333333333
2008,"First","Vince Spadea",1
2008,"First","Marcos Baghdatis",1.26470588235294
2008,"First","Sam Querrey",1.77777777777778
2008,"First","David Nalbandian",1.96
2008,"First","Marat Safin",1.53333333333333
2008,"First","Robin Haase",1.3030303030303
2008,"First","Fabrice Santoro",1.68
2008,"First","Oscar Hernandez",1.17142857142857
2008,"First","Tomas Berdych",1.48387096774194
2008,"First","Denis Istomin",1.26666666666667
2008,"First","David Ferrer",2.32
2008,"First","Denis Gremelmayr",1.07692307692308
2008,"First","Lleyton Hewitt",2.58333333333333
2008,"First","Fernando Gonzalez",1.68
2008,"First","Roger Federer",2.32
2008,"First","Juan Monaco",1.28947368421053
2008,"First","James Blake",1.63333333333333
2008,"First","Michael Russell",1.18181818181818
2008,"First","Dmitry Tursunov",1.2
2008,"First","Juan Carlos Ferrero",1.64285714285714
2008,"First","Amer Delic",1.33333333333333
2008,"First","Philipp Kohlschreiber",1.17647058823529
2008,"First","Nikolay Davydenko",1.375
2008,"First","Feliciano Lopez",1.25
2008,"First","Dudi Sela",1.46875
2008,"First","Jarkko Nieminen",1.1875
2008,"First","Nicolas Mahut",1.08823529411765
2008,"First","Marc Gicquel",1.05128205128205
2008,"First","Mardy Fish",1.32352941176471
2008,"First","Ivo Karlovic",1.1875
2008,"First","Florent Serra",1.34375
2008,"First","Rafael Nadal",1.41379310344828
2008,"First","Stefan Koubek",1.05405405405405
2008,"First","Andreas Seppi",1.625
2008,"First","Gilles Simon",1.08571428571429
2008,"First","Alejandro Falla",1.13513513513514
2008,"First","Guillermo Garcia-Lopez",1.175
2008,"First","Evgeny Korolev",1.75862068965517
2008,"First","Jo-Wilfried Tsonga",1
2008,"First","Paul-Henri Mathieu",1.60714285714286
2008,"First","Agustin Calleri",1.18518518518519
2008,"First","Rainer Schuettler",1.19444444444444
2008,"First","Kristof Vliegen",1.96
2008,"First","Sam Warburg",1.05
2008,"First","Michael Berrer",1.28125
2008,"First","Mikhail Youzhny",1.5
2008,"First","Jesse Levine",1.57142857142857
2008,"First","Richard Gasquet",1.95833333333333
2008,"First","Igor Andreev",1.32142857142857
2008,"First","Andy Roddick",1.46666666666667
2008,"First","Paul Capdeville",1.27272727272727
2008,"First","Tommy Robredo",1.075
2009,"First","Nicolas Almagro",1.18518518518519
2009,"First","Jo-Wilfried Tsonga",1.88888888888889
2009,"First","Richard Gasquet",1.37931034482759
2009,"First","Marcel Granollers",1.19444444444444
2009,"First","Ivo Karlovic",1.60869565217391
2009,"First","Jurgen Melzer",1.79310344827586
2009,"First","Chris Guccione",1.60714285714286
2009,"First","Dudi Sela",1.17948717948718
2009,"First","Gilles Simon",1.35
2009,"First","Flavio Cipolla",1
2009,"First","Guillermo Canas",1.25
2009,"First","Rafael Nadal",3.85714285714286
2009,"First","Paul-Henri Mathieu",1.61538461538462
2009,"First","Marcos Baghdatis",1.18918918918919
2009,"First","Stanislas Wawrinka",1.1
2009,"First","Xavier Malisse",1.51724137931034
2009,"First","Novak Djokovic",1.45714285714286
2009,"First","Philipp Kohlschreiber",0.96969696969697
2009,"First","Andy Roddick",2.11111111111111
2009,"First","Mardy Fish",1.53571428571429
2009,"First","Jeremy Chardy",1.81481481481481
2009,"First","Guillermo Garcia-Lopez",1.2
2009,"First","Tommy Robredo",3.06666666666667
2009,"First","Viktor Troicki",1.32258064516129
2009,"First","Yen-Hsun Lu",1.03030303030303
2009,"First","Bernard Tomic",0.972222222222222
2009,"First","Fabrice Santoro",1.25
2009,"First","Robin Soderling",1.6
2009,"First","Brydan Klein",1.13513513513514
2009,"First","Dominik Hrbaty",1.16129032258065
2009,"First","Marin Cilic",1.3125
2009,"First","Florian Mayer",2
2009,"First","Tomas Berdych",1.66666666666667
2009,"First","Evgeny Korolev",1.7037037037037
2009,"First","Marat Safin",1.37931034482759
2009,"First","David Ferrer",1.25
2009,"First","Brian Dabul",1.92307692307692
2009,"First","David Nalbandian",1.17948717948718
2009,"First","Janko Tipsarevic",1.19444444444444
2009,"First","Juan Martin Del Potro",1.58064516129032
2009,"First","Simone Bolelli",1.03846153846154
2009,"First","Amer Delic",0.967741935483871
2009,"First","Roger Federer",1.24242424242424
2004,"Second","Guillermo Canas",1.06818181818182
2004,"Second","David Nalbandian",1.48648648648649
2004,"Second","Jiri Novak",1.375
2004,"Second","Wayne Ferreira",1.08108108108108
2004,"Second","Joachim Johansson",1.40740740740741
2004,"Second","Andrei Pavel",1.33333333333333
2004,"Second","Juan Carlos Ferrero",1.22222222222222
2004,"Second","Lleyton Hewitt",1.23809523809524
2004,"Second","Jurgen Melzer",1.17142857142857
2004,"Second","Olivier Patience",1.17142857142857
2004,"Second","Andy Roddick",2.5
2004,"Second","Robby Ginepri",2.11111111111111
2004,"Second","Taylor Dent",0.977272727272727
2004,"Second","Paradorn Srichaphan",1
2004,"Second","James Blake",1.05714285714286
2004,"Second","Gustavo Kuerten",1.13888888888889
2004,"Second","Dominik Hrbaty",1.8125
2004,"Second","Sjeng Schalken",1.275
2004,"Second","Todd Martin",1.07407407407407
2004,"Second","Marat Safin",1.17241379310345
2004,"Second","Andre Agassi",1.75
2004,"Second","Nicolas Escude",1.44444444444444
2004,"Second","Thomas Enqvist",1.07894736842105
2004,"Second","Sebastien Grosjean",1.73076923076923
2004,"First","Alex Corretja",1.16666666666667
2004,"First","Filippo Volandri",1.05405405405405
2004,"First","Todd Reid",2.4
2004,"First","Thierry Ascione",1.66666666666667
2004,"First","Mario Ancic",1.14814814814815
2004,"First","Florian Mayer",1.5
2004,"First","David Nalbandian",1.73076923076923
2004,"First","Hicham Arazi",1.28125
2004,"First","Andrei Pavel",1.31034482758621
2004,"First","Radek Stepanek",1.15151515151515
